shs_year,town_estate,number
2003,Sengkang,123726
2003,Punggol,38290
2003,Sembawang,57033
2003,Woodlands,210723
2003,Jurong_west,216722
2003,Tampines,228722
2003,Yishun,158096
2003,Choa Chu Kang,143626
2003,Hougang,172388
2003,Bukit Panjang,106705
2003,Pasir Ris,107506
2003,Bukit Batok,108209
2003,Jurong East,79217
2003,Serangoon,73853
2003,Bishan,66311
2003,Bukit Timah,8794
2003,Bedok,188909
2003,Bukit Merah,123741
2003,Ang Mo Kio,146680
2003,Toa Payoh,102054
2003,Kallang Whampoa,94059
2003,Queenstown,75427
2003,Geylang,93545
2003,Clementi,71047
2003,Central Area,27622
2003,Marine Parade,21681
2008,Sengkang,154478
2008,Punggol,57767
2008,Sembawang,63125
2008,Woodlands,225274
2008,Jurong_west,233920
2008,Tampines,227042
2008,Yishun,161311
2008,Choa Chu Kang,149978
2008,Hougang,168601
2008,Bukit Panjang,106661
2008,Pasir Ris,105737
2008,Bukit Batok,99491
2008,Jurong East,76440
2008,Serangoon,71149
2008,Bishan,64060
2008,Bukit Timah,8402
2008,Bedok,183302
2008,Bukit Merah,136297
2008,Ang Mo Kio,144313
2008,Toa Payoh,101107
2008,Kallang Whampoa,97211
2008,Queenstown,78826
2008,Geylang,90808
2008,Clementi,68508
2008,Central Area,28607
2008,Marine Parade,20809
2013,Sengkang,172748
2013,Punggol,94829
2013,Sembawang,68055
2013,Woodlands,229827
2013,Jurong_west,242395
2013,Tampines,237281
2013,Yishun,169351
2013,Choa Chu Kang,154915
2013,Hougang,165247
2013,Bukit Panjang,115993
2013,Pasir Ris,108328
2013,Bukit Batok,108197
2013,Jurong East,75371
2013,Serangoon,72280
2013,Bishan,62456
2013,Bukit Timah,7830
2013,Bedok,187313
2013,Bukit Merah,144714
2013,Ang Mo Kio,144329
2013,Toa Payoh,102544
2013,Kallang Whampoa,103767
2013,Queenstown,80633
2013,Geylang,87967
2013,Clementi,65397
2013,Central Area,33396
2013,Marine Parade,22501
2018,Sengkang,208400
2018,Punggol,140600
2018,Sembawang,76700
2018,Woodlands,227600
2018,Jurong_west,226500
2018,Tampines,222300
2018,Yishun,185200
2018,Choa Chu Kang,167200
2018,Hougang,163700
2018,Bukit Panjang,114800
2018,Pasir Ris,110400
2018,Bukit Batok,107200
2018,Jurong East,68400
2018,Serangoon,61900
2018,Bishan,55600
2018,Bukit Timah,7600
2018,Bedok,174900
2018,Bukit Merah,134700
2018,Ang Mo Kio,126300
2018,Toa Payoh,95000
2018,Kallang Whampoa,93800
2018,Queenstown,76000
2018,Geylang,75400
2018,Clementi,70200
2018,Central Area,30300
2018,Marine Parade,18700
