Town,Region
Ang Mo Kio,Northeast
Bedok,East
Bishan,Central
Boon Lay,West
Bukit Batok,West
Bukit Merah,Central
Bukit Panjang,West
bukit timah,Central
Central Area,Central
Changi,East
Changi Bay,East
Choa Chu Kang,West
Clementi,West
Geylang,Central
Hougang,Northeast
Jurong East,West
Jurong West,West
kallang/whampoa,Central
Lim Chu Kang,North
Mandai,North
Marine Parade,Central
Pasir Ris,East
Paya Lebar,East
Pioneer,West
Punggol,Northeast
Queenstown,Central
Sembawang,North
Sengkang,Northeast
Serangoon,Northeast
Simpang,North
Sungei Kadut,North
Tampines,East
Tengah,West
Toa Payoh,Central
Tuas,West
Tuas South,West
West Coast,West
Western Islands,West
Woodlands,North
Yishun,North
